<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;10;081124;100000;135.81;136.44;134.54;134.92;3915970
GAZP;10;081124;101000;134.92;135;134.29;134.63;1926160
GAZP;10;081124;102000;134.62;134.94;134.06;134.38;1518370
GAZP;10;081124;103000;134.4;137;134.11;135.78;8564050
GAZP;10;081124;104000;135.78;136.79;135.14;135.78;8710910
GAZP;10;081124;105000;135.77;135.98;135.31;135.55;2020510
GAZP;10;081124;110000;135.54;136.41;135.54;135.93;2228020
GAZP;10;081124;111000;135.92;136.19;134.8;135.06;2123310
GAZP;10;081124;112000;135.05;135.25;134.17;134.32;2884380
GAZP;10;081124;113000;134.31;135.07;134.23;135.07;1004170
GAZP;10;081124;114000;135.08;135.1;134.45;134.52;784840
GAZP;10;081124;115000;134.52;135.2;134.5;135.15;813240
GAZP;10;081124;120000;135.16;135.24;134.77;134.8;364800
GAZP;10;081124;121000;134.8;134.99;134.52;134.62;546430
GAZP;10;081124;122000;134.63;135.07;134.58;134.85;296570
GAZP;10;081124;123000;134.86;135.19;134.77;135.16;447840
GAZP;10;081124;124000;135.17;135.36;134.9;134.99;649390
GAZP;10;081124;125000;134.95;135.09;134.72;134.91;273870
GAZP;10;081124;130000;134.94;135.22;134.86;134.9;394890
GAZP;10;081124;131000;134.9;134.9;133.64;134.22;2287650
GAZP;10;081124;132000;134.22;134.41;133.9;134.12;553700
GAZP;10;081124;133000;134.11;134.48;133.95;134.42;457100
GAZP;10;081124;134000;134.42;134.5;134.11;134.16;213540
GAZP;10;081124;135000;134.16;134.36;134.1;134.34;193040
GAZP;10;081124;140000;134.34;134.9;134.23;134.82;480970
GAZP;10;081124;141000;134.81;134.89;134.28;134.4;455200
GAZP;10;081124;142000;134.45;134.45;134.11;134.38;219330
GAZP;10;081124;143000;134.38;134.6;134.14;134.17;266790
GAZP;10;081124;144000;134.15;134.33;134.05;134.09;284230
GAZP;10;081124;145000;134.1;134.3;134.08;134.15;140250
GAZP;10;081124;150000;134.17;134.32;134.17;134.31;117960
GAZP;10;081124;151000;134.32;134.99;134.32;134.94;407030
GAZP;10;081124;152000;134.91;134.91;134.66;134.87;376880
GAZP;10;081124;153000;134.87;134.97;134.51;134.57;332480
GAZP;10;081124;154000;134.58;134.75;134.4;134.71;186300
GAZP;10;081124;155000;134.72;134.83;134.5;134.75;119590
GAZP;10;081124;160000;134.76;134.79;134.5;134.65;162350
GAZP;10;081124;161000;134.66;134.96;134.66;134.77;234860
GAZP;10;081124;162000;134.76;134.79;134.56;134.59;138280
GAZP;10;081124;163000;134.62;134.84;134.59;134.74;144010
GAZP;10;081124;164000;134.72;134.78;134.46;134.47;130400
GAZP;10;081124;165000;134.47;134.55;134.41;134.44;161620
GAZP;10;081124;170000;134.42;134.44;134.2;134.29;285240
GAZP;10;081124;171000;134.29;134.49;134.12;134.13;154820
GAZP;10;081124;172000;134.14;134.41;133.89;134.25;642370
GAZP;10;081124;173000;134.27;134.32;133.97;134.09;460730
GAZP;10;081124;174000;134.09;134.5;134.08;134.37;188760
GAZP;10;081124;175000;134.39;134.67;134.34;134.6;165880
GAZP;10;081124;180000;134.62;135.47;134.57;135.46;1111910
GAZP;10;081124;181000;135.46;135.7;135.11;135.5;1345520
GAZP;10;081124;182000;135.48;135.54;134.88;135.16;949010
GAZP;10;081124;183000;135.14;135.2;134.88;134.91;496400
GAZP;10;081124;184000;135;135;135;135;110660
GAZP;10;081124;190000;135;135.8;134.97;135.6;1404520
GAZP;10;081124;191000;135.6;135.87;135.3;135.49;754540
GAZP;10;081124;192000;135.47;135.69;135.43;135.66;205230
GAZP;10;081124;193000;135.66;135.66;135.3;135.32;302200
GAZP;10;081124;194000;135.32;135.32;135.15;135.3;225170
GAZP;10;081124;195000;135.29;135.68;135.29;135.43;389730
GAZP;10;081124;200000;135.45;135.6;135.35;135.45;240010
GAZP;10;081124;201000;135.48;135.82;135.41;135.48;480600
GAZP;10;081124;202000;135.48;136;135.48;136;1109770
GAZP;10;081124;203000;136;136.05;135.56;135.87;345390
GAZP;10;081124;204000;135.86;135.92;135.55;135.58;227170
GAZP;10;081124;205000;135.58;135.73;135.56;135.69;113520
GAZP;10;081124;210000;135.69;135.77;135.57;135.63;127380
GAZP;10;081124;211000;135.63;135.66;135.51;135.54;123780
GAZP;10;081124;212000;135.53;135.92;135.51;135.81;360760
GAZP;10;081124;213000;135.83;135.83;135.47;135.59;208580
GAZP;10;081124;214000;135.58;135.69;135.38;135.56;176180
GAZP;10;081124;215000;135.6;135.6;135.51;135.56;65830
GAZP;10;081124;220000;135.55;135.56;135.32;135.48;256480
GAZP;10;081124;221000;135.48;135.49;135.37;135.45;62580
GAZP;10;081124;222000;135.45;135.62;135.44;135.62;132330
GAZP;10;081124;223000;135.62;135.98;135.51;135.87;736120
GAZP;10;081124;224000;135.84;136.23;135.79;136.16;614000
GAZP;10;081124;225000;136.17;136.34;136.12;136.31;312620
GAZP;10;081124;230000;136.31;136.49;136.08;136.17;430270
GAZP;10;081124;231000;136.17;136.3;136;136.29;314180
GAZP;10;081124;232000;136.29;136.36;136.19;136.35;394650
GAZP;10;081124;233000;136.36;136.4;136.04;136.12;484140
GAZP;10;081124;234000;136.12;136.14;135.86;135.9;449670
